Animal_Affected_Big,object_id
0.0,18-300-00101
10880.0,18-300-00102
1160.0,18-300-00103
9654.0,18-300-00104
61512.0,18-300-00105
148830.0,18-301-00109
118010.0,18-301-00110
74327.0,18-301-00111
198573.0,18-301-00112
311820.0,18-301-00113
36520.0,18-301-00114
184983.0,18-302-00115
182823.0,18-302-00116
52565.0,18-302-00117
0.0,18-302-00118
2338.0,18-302-00119
842743.0,18-303-00120
1038957.0,18-303-00121
965364.0,18-303-00122
846952.0,18-303-00123
262722.0,18-799-00124
35500.0,18-304-00126
0.0,18-304-00127
321259.0,18-304-00128
32000.0,18-304-00129
385.0,18-305-00130
11788.0,18-305-00131
0.0,18-305-00132
0.0,18-305-00133
239950.0,18-305-00134
164961.0,18-305-00135
275126.0,18-305-00136
41939.0,18-306-00137
16838.0,18-306-00138
68301.0,18-306-00139
0.0,18-306-00140
33442.0,18-307-00141
55252.0,18-307-00142
28568.0,18-307-00143
7276.0,18-307-00144
22312.0,18-307-00145
2420.0,18-307-00146
59074.0,18-307-00147
2266.0,18-308-00150
68561.0,18-308-00151
55365.0,18-308-00152
35949.0,18-308-00153
0.0,18-309-00154
0.0,18-309-00155
0.0,18-309-00156
0.0,18-309-00157
660.0,18-310-00158
1022.0,18-310-00159
8863.0,18-310-00160
0.0,18-310-00161
2086.0,18-310-00162
340.0,18-310-00163
0.0,18-310-00164
0.0,18-311-00165
0.0,18-311-00166
0.0,18-311-00167
0.0,18-311-00168
0.0,18-312-00169
0.0,18-312-00170
0.0,18-312-00171
4230.0,18-313-00172
0.0,18-313-00173
0.0,18-313-00174
0.0,18-313-00175
0.0,18-313-00176
0.0,18-313-00177
0.0,18-314-00178
0.0,18-314-00179
310.0,18-315-00181
154656.0,18-316-00184
100015.0,18-316-00185
40557.0,18-316-00186
140516.0,18-316-00187
53339.0,18-316-00188
17290.0,18-317-00189
22351.0,18-317-00190
19901.0,18-317-00191
39616.0,18-317-00192
12300.0,18-317-00193
10701.0,18-318-00194
5490.0,18-318-00195
1760.0,18-318-00196
300.0,18-318-00197
400.0,18-319-00198
30303.0,18-319-00199
107116.0,18-319-00200
0.0,18-319-00201
41590.0,18-319-00202
395.0,18-320-00205
375.0,18-320-00206
11820.0,18-320-00207
267184.0,18-321-00208
53682.0,18-321-00209
2117133.0,18-321-00210
189273.0,18-321-00211
0.0,18-321-00212
0.0,18-321-00213
90332.0,18-321-00214
2200.0,18-321-00215
0.0,18-321-00216
71931.0,18-321-00217
0.0,18-322-00219
34306.0,18-322-00220
35527.0,18-322-00221
298778.0,18-323-00222
144689.0,18-323-00223
100165.0,18-323-00224
95361.0,18-323-00225
188008.0,18-323-00226
65717.0,18-323-00227
185791.0,18-323-00228
4344.0,18-323-00230
57966.0,18-324-00231
10734.0,18-324-00233
7446.0,18-324-00234
154759.0,18-325-00238
201108.0,18-325-00239
3770.0,18-326-00241
800.0,18-326-00245
4180.0,18-326-00246
155.0,18-326-00247
0.0,18-755-00248
19775.0,18-756-00249
45516.0,18-756-00250
36674.0,18-756-00251
96553.0,18-757-00252
51158.0,18-757-00253
56584.0,18-757-00254
0.0,18-759-00255
731624.0,18-758-00256
690343.0,18-758-00257
94553.0,18-816-00259
4344.0,18-324-00260
28498.0,18-816-00261
1366.0,18-324-00262
75772.0,18-303-00264
265756.0,18-799-00265
202566.0,18-303-00266
16802.0,18-326-00268
799886.0,18-325-00269
668042.0,18-325-00270
120191.0,18-304-00271
24150.0,18-321-00272
4200.0,18-321-00273
0.0,18-314-00275
0.0,18-312-00276
0.0,18-312-00277
0.0,18-755-00278
0.0,18-755-00279
8213.0,18-760-00280
7775.0,18-760-00281
