Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2024_PWD_39700_68,CE/MAINT/RIDF-XXX/TE/01/24-25,Maint/RIDF/TE/2024-25/67,Construction of Tiok T.E. Roads Teli line. Panika line. Teli Nath Tassa line and 13 no line under RIDF-XXX of NABARD for the year 2024-25 under Charaideo District Territorial Road Division of Sonari LAC,Works,Open Tender,Item Rate,Civil Works – Roads,No,No,NA ,07-Oct-2024 03:00 PM,07-Oct-2024 03:00 PM ,180.0,No ,No,Online,25-Oct-2024 03:00 PM,Public Works Roads Department,Sonari,785690.0,2.0,"1,00,00,000",Rupeswar Gogoi,"9,999,699",Accepted-AOC,02-Apr-2025,Public Works Roads Department
2024_DOT_37983_1,ATDC/3614/2024/Pt-I/365 dtd. 01.07.2024,"1) Out-of-Home Digital Branding at New Delhi and Mumbai In New Delhi Connaught Palace area (Outer and Inner) (ii) In Mumbai Bandra, BKC, Marine Drive area 2) Out of home Hoarding at North Goa and Panjim (Major prominent locations)","1) Out-of-Home Digital Branding at New Delhi and Mumbai In New Delhi Connaught Palace area (Outer and Inner) (ii) In Mumbai Bandra, BKC, Marine Drive area 2) Out of home Hoarding at North Goa and Panjim (Major prominent locations)",Services,Open Tender,Empanelment,Miscellaneous Services,No,No,NA ,12-Jul-2024 04:00 PM,17-Jul-2024 12:00 PM ,180.0,No ,No,Online,26-Jul-2024 01:00 PM,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,"Mumbai, New Delhi, North Goa, Panjim",110007.0,1.0,0.0,SIGNPOST INDIA LTD,"4,602,000",Not Admitted-Fee/PreQual/Technical/Finance,25-Apr-2025,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT
2024_HFWD_38711_1,4498_28.08.2024 Essential Chemical Items,Essential Chemical Items,Tender for supply of essential chemical items by entering into a RC.,Goods,Open Tender,Item Rate,Medicines,No,No,NA ,31-Aug-2024 11:00 AM,11-Sep-2024 03:00 PM ,180.0,No ,No,Online,27-Sep-2024 04:00 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,AMSCL,781026.0,2.0,"16,00,00,000",ARCO LIFESCIENCES INDIA PVT LTD,1.0,Rejected-Technical,30-Apr-2025,Health and Family Welfare Department||Assam Medical Services Corporation Limited
2024_HFWD_41564_1,ARC/2016-17/170/Pt.-IV/119,"supply of Chemical items required for various Laboratories under, HMS, GMCH, Guwahati","supply of Chemical items required for various Laboratories under, HMS, GMCH, Guwahati",Goods,Open Tender,Item Wise,Lab Chemistry Reagents,No,No,NA ,21-Dec-2024 05:30 PM,26-Dec-2024 02:00 PM ,365.0,No ,No,Online,10-Jan-2025 04:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,"GMCH, Bhangagarh, Guwahati",781032.0,2.0,,SRL Associates,"2,795.18",Accepted-AOC,04-Apr-2025,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD
2024_GMC_38840_9,GER/CE/2430/2024/8 Dated 03/09/2024,Construction of drain from TB Hospital back side to River Bharalu.,Construction of drain from TB Hospital back side to River Bharalu.,Works,Open Tender,Lump-sum,Civil Works,No,No,NA ,05-Sep-2024 02:00 PM,NA ,180.0,No ,No,Online,09-Oct-2024 03:00 PM,Guwahati Municipal Corporation,GUWAHATI,781006.0,2.0,"1,66,00,000",P.S. ENTERPRISE,"13,280,000",Rejected-AOC,04-Apr-2025,Guwahati Municipal Corporation
2024_PWD_39143_68,"CE/DEV/TB/213/2024-25/01 Dtd. Guwahati, 05th September, 2024",TE_RIDF_XXX_24_25_24 Construction of Mukhargarh Tea Estate Line Road under Mukhargarh Tea Estate under RIDF-XXX of NABARD for the year 2024-25,TE_RIDF_XXX_24_25_24 Construction of Mukhargarh Tea Estate Line Road under Mukhargarh Tea Estate under RIDF-XXX of NABARD for the year 2024-25,Works,Open Tender,Item Rate,Civil Works – Roads,No,No,NA ,25-Sep-2024 01:00 PM,30-Sep-2024 12:00 PM ,180.0,No ,No,Online,09-Oct-2024 02:30 PM,Public Works Roads Department,Biswanath,784177.0,2.0,"99,86,000",DEBAJIT KALITA,"9,985,900",Accepted-AOC,10-Apr-2025,Public Works Roads Department
2024_PWD_39143_83,"CE/DEV/TB/213/2024-25/01 Dtd. Guwahati, 05th September, 2024",TE_RIDF_XXX_24_25_30 Construction of Labour Line Road of Mahalakshmi Tea Estate under RIDF-XXX of NABARD for the year 2024-25,TE_RIDF_XXX_24_25_30 Construction of Labour Line Road of Mahalakshmi Tea Estate under RIDF-XXX of NABARD for the year 2024-25,Works,Open Tender,Item Rate,Civil Works – Roads,No,No,NA ,25-Sep-2024 01:00 PM,30-Sep-2024 12:00 PM ,180.0,No ,No,Online,09-Oct-2024 02:30 PM,Public Works Roads Department,Biswanath,784177.0,2.0,"1,00,00,000",MANAB HAZARIKA,"9,000,000",Not Admitted-Fee/PreQual/Technical,11-Apr-2025,Public Works Roads Department
2024_PWD_41374_7,KNSTRD/T-2/GWC/ET/2024-25/01,"KNSTRD_GWC_ET_24_25_05 Construction of road from (i) Vitorgool Tukerbazar Road to Majorkandi, (ii) Nilambazar Balia PWD Road Tinghori Part 1, (iii) Nilambazar Balia PWD Road Tinghori Part 2 under SOPD-G for the year 2024-25 (Karimganj South LAC)","KNSTRD_GWC_ET_24_25_05 Construction of road from (i) Vitorgool Tukerbazar Road to Majorkandi, (ii) Nilambazar Balia PWD Road Tinghori Part 1, (iii) Nilambazar Balia PWD Road Tinghori Part 2 under SOPD-G for the year 2024-25 (Karimganj South LAC)",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,18-Dec-2024 02:00 PM,19-Dec-2024 12:00 PM ,180.0,No ,No,Online,24-Dec-2024 04:00 PM,Public Works Roads Department,Sribhumi,788710.0,2.0,"31,49,800",Taher Ahmed Siddiquey,"3,148,002",Rejected-AOC,01-Apr-2025,Public Works Roads Department
2025_ID_42559_1,NIT No.11/LCI/NL/SOPD-TSP/2024-25 dt. 04/02/2025,"Installation of Solar Powered MDTW Scheme at Bengenagarah GP 2 (Two) Points under Dhemaji LAC under SOPD-TSP for the year 2024-25 under Dhemaji Jonai Division (Irrigation), Dhemaji","Installation of Solar Powered MDTW Scheme at Bengenagarah GP 2 (Two) Points under Dhemaji LAC under SOPD-TSP for the year 2024-25 under Dhemaji Jonai Division (Irrigation), Dhemaji.",Works,Open Tender,Item Rate,Miscellaneous Works,No,No,NA ,10-Feb-2025 11:00 AM,NA ,180.0,No ,No,Online,03-Mar-2025 03:00 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Lakhimpur Circle,Dhemaji,787057.0,2.0,"71,03,476",T J Biswajit Mahengia,"3,196,564",Accepted-AOC,02-Apr-2025,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Lakhimpur Circle
2024_APDCL_41020_1,APDCL/CGM_RE/RDSS_Addl_HH-29,Electrification of UE households in Nalbari Dist. of Assam under RDSS,"Electrification of additional un-electrified households at Nalbari District of Assam under the Revamped Reforms-based and Results-linked, Distribution Sector Scheme",Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,10-Dec-2024 03:00 PM,13-Dec-2024 11:00 AM ,180.0,No ,No,Online,03-Jan-2025 12:00 PM,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,Nalbari,781335.0,2.0,"1,80,63,300",M/s NS Electrical Construction,"14,059,189.07",Accepted-AOC,01-Apr-2025,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL
