class,age,male,female
0,0 to 1,1760.58,1638.61
1,1 to 5,6745.91,6267.68
10,10 to 15,7916.04,7407.44
15,15 to 20,7173.53,6570.23
20,20 to 25,6705.59,6712.5
25,25 to 30,6923.56,6589.34
30,30 to 35,6241.52,5813.01
35,35 to 40,5765.38,5326.99
40,40 to 45,4786.8,4426.55
45,45 to 50,4186.35,3924.9
5,5 to 10,8115.38,7533.37
50,50 to 55,3577.83,3344.86
55,55 to 60,2840.47,2395.93
60,60 to 65,2193.55,2102.61
65,65 to 70,1558.65,1480.86
70,70 to 75,1019.64,1094.68
75,75 to 80,679.1,669.01
80,80 and over,637.15,780.57
