object_id,sum_aged_population
18-323-00223,1835.54
18-321-00216,2152.88
18-321-00217,586.28
18-321-00218,1326.09
18-322-00219,21224.23
18-322-00220,3233.6
18-322-00221,1373.8200000000002
18-323-00222,2749.51
18-323-00224,11497.35
18-324-00234,2554.49
18-323-00226,5331.82
18-323-00227,935.41
18-323-00228,6776.209999999999
18-324-00260,1505.84
18-323-00230,345.1
18-324-00231,4388.67
18-324-00232,2569.35
18-324-00233,2817.27
18-321-00215,5262.6
18-323-00225,5253.459999999999
18-321-00214,9424.79
18-317-00193,15443.19
18-321-00212,3938.97
18-816-00235,193.25
18-318-00194,3019.47
18-318-00195,4393.4
18-318-00196,7403.15
18-318-00197,7545.18
18-319-00198,2469.12
18-319-00199,4139.910000000001
18-319-00200,15053.01
18-319-00201,3455.9400000000005
18-319-00202,2637.25
18-320-00203,419.65
18-320-00204,652.74
18-320-00205,5541.31
18-320-00206,4577.719999999999
18-320-00207,15074.45
18-321-00208,4864.81
18-321-00209,1783.39
18-321-00210,6134.6
18-321-00211,2259.48
18-321-00213,5790.96
18-816-00236,151.29
18-314-00275,10709.78
18-325-00238,2052.21
18-324-00263,2098.6
18-303-00264,6965.19
18-799-00265,5004.889999999999
18-303-00266,6773.549999999999
18-322-00267,17263.42
18-326-00268,1590.5099999999998
18-325-00269,8424.119999999999
18-325-00270,23732.9
18-304-00271,11706.78
18-321-00272,7152.98
18-321-00273,9539.56
18-301-00274,466.61
18-312-00276,13039.43
18-312-00277,4671.27
18-755-00278,4618.71
18-755-00279,3827.21
18-760-00280,2557.43
18-760-00281,3411.8899999999994
18-317-00192,17675.019999999997
18-324-00262,6132.38
18-325-00237,694.7
18-816-00261,11636.27
18-816-00258,645.23
18-325-00239,8297.5
18-326-00240,783.18
18-326-00241,3613.21
18-326-00242,0.48
18-326-00243,103.6
18-326-00244,1479.88
18-326-00245,9151.43
18-326-00246,11087.07
18-326-00247,4671.35
18-755-00248,5380.67
18-756-00249,17227.55
18-756-00250,3446.87
18-756-00251,5274.49
18-757-00252,6668.03
18-757-00253,9282.35
18-757-00254,20691.67
18-759-00255,19002.300000000003
18-758-00256,1272.15
18-758-00257,18118.29
18-816-00259,4974.68
18-317-00191,11471.15
18-307-00145,13194.97
18-317-00189,15202.94
18-799-00124,4217.9
18-799-00125,736.37
18-304-00126,4639.6
18-304-00127,3644.68
18-304-00128,6711.73
18-304-00129,6631.0
18-305-00130,10817.52
18-305-00131,14198.850000000002
18-305-00132,13199.170000000002
18-305-00133,12106.23
18-305-00134,9231.54
18-305-00135,5347.66
18-305-00136,12608.420000000002
18-306-00137,22367.41
18-306-00138,13602.91
18-306-00139,8490.35
18-306-00140,10039.07
18-307-00141,3587.33
18-307-00142,12023.23
18-303-00122,12848.0
18-307-00143,7642.34
18-303-00121,14707.18
18-302-00119,4817.62
18-317-00190,7108.27
18-300-00101,15298.94
18-300-00102,1035.43
18-300-00103,6369.74
18-300-00104,15638.09
18-300-00105,2712.8900000000003
18-300-00106,1903.01
18-300-00107,851.48
18-300-00108,4296.51
18-301-00109,4662.389999999999
18-301-00110,3449.36
18-301-00111,6752.3
18-301-00112,11516.11
18-301-00113,5773.97
18-301-00114,671.97
18-302-00115,10003.42
18-302-00116,7091.9
18-302-00117,13668.5
18-302-00118,1752.5700000000002
18-303-00120,7229.370000000001
18-307-00144,3003.11
18-303-00123,5796.48
18-307-00146,4628.75
18-312-00169,7005.51
18-312-00170,9831.77
18-312-00171,8431.039999999999
18-313-00172,9437.41
18-313-00173,7127.57
18-313-00174,7005.59
18-313-00175,20903.69
18-313-00176,3270.08
18-313-00177,10413.33
18-314-00178,13639.09
18-314-00179,3898.12
18-315-00180,2775.21
18-315-00181,2298.44
18-315-00182,1477.66
18-315-00183,2124.26
18-316-00184,12196.920000000002
18-316-00185,34864.48
18-316-00186,7973.860000000001
18-316-00187,14520.01
18-311-00168,11789.44
18-311-00167,7541.809999999999
18-316-00188,16784.5
18-308-00152,5991.18
18-307-00147,3609.48
18-308-00148,59.02
18-308-00149,222.86
18-308-00150,5407.32
18-308-00151,10257.85
18-311-00166,11509.79
18-308-00153,4262.83
18-309-00154,6459.15
18-309-00156,23034.41
18-309-00155,18825.25
18-310-00158,8278.1
18-310-00159,11093.98
18-310-00160,6287.25
18-310-00161,3041.02
18-310-00162,6387.5
18-310-00163,6893.370000000001
18-310-00164,12580.170000000002
18-311-00165,5952.19
18-309-00157,15661.12
