class,age,male,female
0,0 to 1,664.98,619.1
1,1 to 5,2567.05,2385.81
10,10 to 15,3601.59,3325.07
15,15 to 20,3525.71,3446.63
20,20 to 25,3341.51,3487.6
25,25 to 30,3630.05,3505.3
30,30 to 35,3335.34,3066.74
35,35 to 40,3086.97,2830.69
40,40 to 45,2509.78,2249.17
45,45 to 50,2292.68,2068.3
5,5 to 10,3298.24,3071.14
50,50 to 55,1825.77,1719.82
55,55 to 60,1518.71,1292.72
60,60 to 65,1116.78,1045.37
65,65 to 70,806.05,738.86
70,70 to 75,474.19,450.15
75,75 to 80,306.2,271.86
80,80 and over,249.81,265.3
