object_id,Others_tenders_awarded_value,timeperiod
18-304-00128,24387718.0,2017_06
18-324-00262,2469490.0,2017_06
18-324-00234,5887922.76,2017_07
18-324-00262,4675606.0,2017_07
18-325-00269,2496840.0,2017_07
18-326-00245,2480285.0,2017_07
18-326-00246,12784137.71,2017_07
18-305-00134,21995460.0,2017_12
18-326-00246,26166200.0,2018_02
18-320-00205,15690310.18,2018_03
18-320-00207,3968688.94,2018_03
18-302-00116,7543033.0,2018_04
18-302-00118,13259790.0,2018_04
18-322-00219,10616963.65,2018_05
18-300-00104,92491117.43,2018_06
18-303-00122,18110444.89,2018_06
18-320-00205,13857071.18,2018_06
18-320-00206,3956522.0,2018_06
18-320-00207,0.0,2018_06
18-322-00221,4020442.2,2018_06
18-324-00262,6997078.75,2018_06
18-321-00272,372659536.0,2018_07
18-324-00234,8989359.17,2018_07
18-324-00262,6916648.53,2018_07
18-326-00246,10729250.9,2018_07
18-300-00104,7718801.0,2018_08
18-300-00104,29428265.96,2018_09
18-300-00104,11449237.0,2018_12
18-308-00150,6612000.0,2018_12
18-313-00172,268307732.5,2018_12
18-324-00233,1980000.0,2019_02
18-324-00262,1980316.0,2019_02
18-300-00104,29604996.0,2019_03
18-320-00206,3139222.0,2019_03
18-322-00220,149818460.0,2019_03
18-324-00262,11519909.0,2019_03
18-326-00246,2243197.0,2019_03
18-300-00104,3490666.0,2019_04
18-300-00103,5294101.0,2019_07
18-300-00104,675738538.74,2019_09
18-303-00122,2497769.71,2019_09
18-304-00128,2613681.0,2019_09
18-305-00134,115144939.74,2019_09
18-312-00276,0.0,2019_09
18-316-00185,8480708.47,2019_09
18-318-00195,33711633.17,2019_09
18-322-00219,28922958.53,2019_09
18-323-00226,14895648.0,2019_09
18-300-00104,2970340.24,2019_10
18-307-00145,9054449.05,2019_10
18-317-00189,11757800.0,2019_12
18-300-00104,6815487.0,2020_01
18-302-00116,81158743.57,2020_01
18-321-00212,2793178.0,2020_01
18-322-00219,0.0,2020_01
18-300-00104,13977634.2,2020_02
18-302-00115,12076121.75,2020_02
18-303-00122,59889925.22,2020_02
18-304-00128,16396162.32,2020_02
18-305-00134,71975207.27,2020_02
18-326-00246,24439870.0,2020_02
18-300-00104,5580713.0,2020_03
18-316-00185,6490075.79,2020_03
18-317-00190,11825182.82,2020_03
18-318-00195,6499675.78,2020_03
18-324-00262,13999394.0,2020_03
18-322-00219,6358000.0,2020_05
18-303-00122,0.0,2020_06
18-306-00139,33339054.08,2020_06
18-307-00145,100085400.0,2020_06
18-307-00146,32189640.15,2020_06
18-313-00175,46857406.03,2020_06
18-317-00190,110105283.93,2020_06
18-322-00219,19660231.0,2020_06
18-760-00281,47147160.65,2020_06
18-301-00112,17624858.0,2020_07
18-308-00150,4980849.9,2020_07
18-316-00186,17672705.0,2020_07
18-760-00281,30543951.67,2020_07
18-305-00136,19764000.0,2020_08
18-306-00139,17624902.17,2020_08
18-307-00145,19025834.26,2020_08
18-309-00157,6521463.0,2020_08
18-316-00185,6830000.0,2020_08
18-323-00226,54023520.0,2020_08
18-324-00262,20143199.02,2020_08
18-756-00249,0.0,2020_08
18-317-00190,12158337.87,2020_09
18-318-00195,5715463.0,2020_09
18-301-00112,18286886.85,2020_10
18-302-00119,0.0,2020_10
18-303-00122,45992874.29000001,2020_10
18-304-00128,15915057.83,2020_10
18-305-00134,34056141.35,2020_10
18-309-00154,38850000.0,2020_10
18-313-00175,8092105.7,2020_10
18-316-00185,27091312.74,2020_10
18-317-00189,9374617.28,2020_10
18-321-00272,4735387.93,2020_10
18-322-00219,24070686.22,2020_10
18-816-00261,6344213.0,2020_10
18-304-00128,16422566.51,2020_11
18-308-00150,0.0,2020_11
18-310-00161,0.0,2020_11
18-316-00185,16952540.53,2020_11
18-317-00189,14582135.79,2020_11
18-317-00191,18944190.23,2020_11
18-323-00226,19335377.3,2020_11
18-760-00281,14762658.0,2020_11
18-303-00122,10770124.13,2020_12
18-316-00185,77707272.45,2020_12
18-300-00104,8252638.36,2021_01
18-305-00134,4973636.83,2021_01
18-308-00150,5364520.0,2021_01
18-316-00185,0.0,2021_01
18-318-00195,31081944.36,2021_01
18-303-00122,23754920.16,2021_02
18-316-00185,19800167.01,2021_02
18-320-00206,9647878.52,2021_02
18-323-00226,0.0,2021_02
18-324-00262,10380846.0,2021_02
18-326-00246,13407595.6,2021_02
18-757-00252,11685352.0,2021_02
18-313-00175,0.0,2021_03
18-317-00190,19848898.56,2021_03
18-321-00210,30585600.0,2021_03
18-323-00226,15408623.0,2021_03
18-324-00262,19757464.0,2021_03
18-756-00251,58876000.0,2021_03
18-321-00210,12168000.0,2021_04
18-321-00211,12239319.0,2021_04
18-301-00112,15394964.76,2021_05
18-302-00115,29497757.66,2021_05
18-304-00128,0.0,2021_05
18-306-00139,0.0,2021_05
18-322-00219,161649511.34,2021_05
18-326-00246,4247067.0,2021_05
18-300-00104,21833344.21,2021_06
18-301-00112,34105304.44,2021_06
18-304-00128,19777948.5,2021_06
18-305-00134,66827564.28,2021_06
18-312-00169,17098889.0,2021_06
18-317-00190,13498761.47,2021_06
18-322-00219,55984300.0,2021_06
18-324-00262,11761532.88,2021_06
18-303-00122,0.0,2021_07
18-317-00191,10806862.32,2021_07
18-323-00226,7772400.0,2021_07
18-760-00281,20430872.26,2021_07
18-312-00276,17064653.57,2021_08
18-320-00205,7276370.0,2021_08
18-324-00262,6199877.0,2021_08
18-325-00239,2671369.0,2021_08
18-300-00104,19475878.46,2021_09
18-310-00160,30469083.83,2021_09
18-325-00269,12496117.49,2021_09
18-760-00281,23103996.22,2021_09
18-816-00261,35037970.0,2021_09
18-323-00226,17842722.79,2021_10
18-304-00126,7996508.0,2021_11
